Batch_ID,Date,Factory,Ingredient,Cp,Cpk,Pp,Ppk,Dosing_Accuracy_%,Cpk_outlier,Dosing_Accuracy_%_outlier
B1168,2024-07-30,Haridwar PC,Noodles,1.307,0.846,1.728,1.419,101.55,False,False
B1092,,Haridwar PC,PAS,1.084,4.678,0.789,0.961,98.19,True,False
B1022,,Haridwar PC,Noodles,1.14,0.835,1.578,1.252,98.47,False,False
B1106,2024-10-18,Pondicherry PC,Noodles,1.011,1.164,1.325,1.033,99.54,False,False
B1191,,Pondicherry PC,Noodles,1.307,1.172,1.121,1.122,99.54,False,False
B1122,,Sumerpur PC,Frisis,1.374,1.15,1.319,0.914,99.85,False,False
B1073,,Nepal PC,Frisis,1.398,1.083,1.297,1.105,98.41,False,False
B1146,,Haridwar PC,Noodles,1.098,1.311,1.26,1.224,101.1,False,False
B1100,,LLPL,Perfume,1.048,0.89,0.863,1.049,99.54,False,False
B1054,,Nepal PC,Frisis,1.542,0.906,1.266,1.355,95.81,False,False
B1160,,Khamgaon,Perfume,1.338,1.168,1.625,1.24,98.63,False,False
B1159,,Khamgaon,Perfume,1.167,1.206,1.292,1.459,101.93,False,False
B1001,2024-01-07,Haridwar PC,Noodles,1.307,1.103,1.245,1.09,99.28,False,False
B1051,,Haridwar PC,Noodles,1.307,1.184,1.109,1.039,99.54,False,False
B1181,,LLPL,Perfume,1.894,1.303,1.162,1.049,101.87,False,False
B1075,,Nepal PC,PAS,1.547,1.225,1.151,0.961,99.91,False,False
B1104,2024-07-31,Khamgaon,Frisis,0.878,1.297,1.18,1.099,99.77,False,False
B1011,2024-10-01,Nepal PC,Perfume,1.436,1.007,1.157,1.098,96.63,False,False
B1103,,Haridwar PC,Frisis,1.307,1.115,1.358,0.866,99.75,False,False
B1105,,Sumerpur PC,Perfume,1.335,1.564,1.329,1.088,99.04,True,False
B1184,,Khamgaon,PAS,1.499,0.872,1.304,1.607,97.08,False,False
B1025,2024-05-22,Nepal PC,PAS,0.869,0.988,1.047,1.113,98.14,False,False
B1115,,LLPL,Noodles,1.2,1.105,1.35,1.157,97.87,False,False
B1033,,Nepal PC,Frisis,1.312,1.01,1.375,0.836,99.29,False,False
B1160,,Sumerpur PC,Noodles,1.472,1.105,1.264,1.138,99.34,False,False
B1002,,Sumerpur PC,Frisis,1.041,1.363,1.26,1.084,99.16,False,False
B1102,,Sumerpur PC,Perfume,1.185,1.311,1.319,1.049,99.54,False,False
B1196,,Sumerpur PC,Perfume,1.036,1.265,1.2610000000000001,0.806,99.81,False,False
B1199,,LLPL,Noodles,1.239,1.105,1.099,0.872,98.28,False,False
B1161,,Haridwar PC,Noodles,1.507,1.103,1.338,1.049,101.07,False,False
B1072,,Khamgaon,Noodles,1.216,1.036,1.314,0.728,100.92,False,False
B1182,,Haridwar PC,Perfume,1.595,1.105,1.156,0.707,101.53,False,False
B1002,,Sumerpur PC,Frisis,1.209,1.105,1.285,0.688,99.54,False,False
B1056,,LLPL,PAS,1.49,1.156,1.271,1.049,99.41,False,False
B1035,,Pondicherry PC,PAS,1.479,1.4,1.265,1.376,99.54,False,False
B1122,,LLPL,Frisis,1.232,1.29,1.2,1.049,101.45,False,False
B1095,2024-02-09,Sumerpur PC,Perfume,1.143,0.662,1.42,0.852,99.54,True,False
B1083,2024-05-23,Nepal PC,PAS,1.489,0.817,1.499,0.616,96.87,False,False
B1022,2024-12-08,Haridwar PC,Perfume,1.324,0.923,1.307,1.083,99.54,False,False
B1121,,Khamgaon,Perfume,0.615,1.105,1.158,0.989,97.21,False,False
B1082,,Nepal PC,Perfume,1.077,1.033,1.562,1.076,100.32,False,False
B1097,,LLPL,Frisis,0.947,1.393,1.205,1.064,99.54,False,False
B1023,2024-01-08,Haridwar PC,Perfume,1.211,1.29,1.541,1.122,100.37,False,False
B1174,2024-02-13,Haridwar PC,PAS,1.018,0.995,1.348,1.049,97.67,False,False
B1164,,Sumerpur PC,Perfume,0.822,1.288,1.256,1.075,98.96,False,False
B1043,,Sumerpur PC,PAS,1.307,1.022,1.116,1.329,97.54,False,False
B1109,,Pondicherry PC,Perfume,1.307,0.935,1.712,1.049,98.5,False,False
B1195,,Pondicherry PC,Noodles,0.967,0.733,1.352,0.829,96.27,False,False
B1198,2024-02-06,LLPL,Perfume,1.307,1.122,1.026,0.851,99.45,False,False
B1076,,Khamgaon,PAS,1.342,1.118,1.348,1.366,99.32,False,False
B1134,,Pondicherry PC,Frisis,1.058,1.183,1.112,1.037,98.65,False,False
B1099,2024-10-01,Khamgaon,Noodles,0.993,1.432,1.43,1.009,98.43,False,False
