Batch_ID,Date,Factory,Ingredient,Cp,Cpk,Pp,Ppk,Dosing_Accuracy_%
B1168,30-Jul-2024,Haridwar Pc,Noodles,,0.846,1.728,1.419,101.55
B1092,2024-12-07,Haridwar,PAS,1.084,4.678,0.789,0.961,98.19
B1022,2024-01-28,Haridwar,Noodles,1.14,0.835,1.578,1.252,98.47
B1106,18-Oct-2024,pondicherry pc,Noodles,1.011,1.164,1.325,1.033,
B1191,01-30-2024,Pondicherry,Noodles,,1.172,1.121,1.122,
B1122,2024-06-29,Sumerpur PC,Frisis,1.374,1.15,1.319,0.914,99.85
B1073,2024-02-25,NEPAL PC,Frisis,1.398,1.083,1.297,1.105,98.41
B1146,08-28-2024,Haridwar PC,Noodles,1.098,1.311,1.26,1.224,101.1
B1100,2024-06-07,Llpl,Perfume,1.048,0.89,0.863,,
B1054,12-21-2024,Nepal Pc,Frisis,1.542,0.906,1.266,1.355,95.81
B1160,03-18-2024,Khamagon,Perfume,1.338,1.168,1.625,1.24,98.63
B1159,2024-03-06,Khamagon,Perfume,1.167,1.206,1.292,1.459,101.93
B1001,07-Jan-2024,HARIDWAR PC,Noodles,,1.103,1.245,1.09,99.28
B1051,04-09-2024,HARIDWAR PC,Noodles,N/A,1.184,1.109,1.039,error
B1181,26/06/2024,llpl,Perfume,1.894,1.303,1.162,,101.87
B1075,2024-08-29,nepal pc,PAS,1.547,1.225,1.151,0.961,99.91
B1104,31-Jul-2024,Khamgoan,Frisis,0.878,1.297,1.18,1.099,99.77
B1011,01-Oct-2024,Nepal Pc,Perfume,1.436,1.007,1.157,1.098,96.63
B1103,22/09/2024,Haridwar,Frisis,,1.115,1.358,0.866,99.75
B1105,09-21-2024,sumerpur pc,Perfume,1.335,1.564,1.329,1.088,99.04
B1184,2024-10-25,Khamgoan,PAS,1.499,0.872,1.304,1.607,97.08
B1025,22-May-2024,Nepal PC,PAS,0.869,0.988,1.047,1.113,98.14
B1115,06-27-2024,L.L.P.L,Noodles,1.2,,1.35,1.157,97.87
B1033,2024-06-07,Nepal Pc,Frisis,1.312,1.01,1.375,0.836,99.29
B1160,2024-06-07,sumerpur pc,Noodles,1.472,,1.264,1.138,99.34
B1002,03/08/2024,sumerpur pc,Frisis,1.041,1.363,1.26,1.084,99.16
B1102,08-12-2024,sumerpur pc,Perfume,1.185,1.311,1.319,,error
B1196,02-27-2024,Sumerpur PC,Perfume,1.036,1.265,,0.806,99.81
B1199,08/06/2024,Llpl,Noodles,1.239,,1.099,0.872,98.28
B1161,29/12/2024,Haridwar PC,Noodles,1.507,1.103,1.338,,101.07
B1072,10-27-2024,KHAMGAON,Noodles,1.216,1.036,1.314,0.728,100.92
B1182,2024-09-15,Haridwar PC,Perfume,1.595,,1.156,0.707,101.53
B1002,04-17-2024,Sumerpur,Frisis,1.209,,1.285,0.688,
B1056,04-09-2024,llpl,PAS,1.49,1.156,1.271,,99.41
B1035,2024-05-26,Pondichery PC,PAS,1.479,1.4,1.265,1.376,error
B1122,27/05/2024,LLPL ,Frisis,1.232,1.29,1.2,,101.45
B1095,09-Feb-2024,SUMERPUR PC,Perfume,1.143,0.662,1.42,0.852,99.54
B1083,23-May-2024,NEPAL PC,PAS,1.489,0.817,1.499,0.616,96.87
B1022,08-Dec-2024,HARIDWAR PC,Perfume,1.324,0.923,1.307,1.083,
B1121,2024-07-07,Khamagon,Perfume,0.615,,1.158,0.989,97.21
B1082,2024-03-23,NEPAL PC,Perfume,1.077,1.033,1.562,1.076,100.32
B1097,11-23-2024,llpl,Frisis,0.947,1.393,1.205,1.064,
B1023,08-Jan-2024,Haridwar Pc,Perfume,1.211,1.29,1.541,1.122,100.37
B1174,13-Feb-2024,HARIDWAR PC,PAS,1.018,0.995,1.348,,97.67
B1164,09-04-2024,Sumerpur Pc,Perfume,0.822,1.288,1.256,1.075,98.96
B1043,10-15-2024,sumerpur pc,PAS,,1.022,1.116,1.329,97.54
B1109,09-25-2024,Pondicherry PC,Perfume,,0.935,1.712,,98.5
B1195,2024-09-03,PONDICHERRY PC,Noodles,0.967,0.733,1.352,0.829,96.27
B1198,06-Feb-2024,LLPL,Perfume,N/A,1.122,1.026,0.851,99.45
B1076,12-26-2024,KHAMGAON,PAS,1.342,1.118,1.348,1.366,99.32
B1134,2024-02-23,Pondicherry PC,Frisis,1.058,1.183,1.112,1.037,98.65
B1099,01-Oct-2024,khamgaon,Noodles,0.993,1.432,1.43,1.009,98.43
B1103,19-Jan-2024,Nepal Pc,Frisis,1.278,1.064,1.104,1.089,97.91
B1142,25-Jan-2024,sumerpur pc,Frisis,1.363,0.872,0.982,1.427,99.78
B1074,2024-07-28,sumerpur pc,Frisis,1.164,1.294,1.244,0.983,101.52
B1019,10/03/2024,Haridwar,PAS,1.436,1.317,1.08,1.071,96.88
B1132,17-Mar-2024,L.L.P.L,Frisis,1.533,0.948,1.137,0.85,99.92
B1148,2024-06-15,sumerpur pc,Frisis,1.204,1.193,1.162,1.283,100.35
B1173,11/11/2024,LLPL ,Frisis,1.488,1.258,1.068,1.331,97.4
B1062,22/07/2024,Sumerpur PC,Frisis,0.72,0.842,0.991,0.983,102.0
B1021,01/03/2024,llpl,Perfume,1.06,1.376,1.431,0.929,99.96
B1049,06-30-2024,khamgaon,PAS,1.157,0.991,1.243,0.941,98.43
B1172,08-04-2024,Haridwar Pc,Frisis,1.338,1.173,,1.531,99.41
B1179,2024-01-24,Nepal Pc,Perfume,1.395,1.086,1.243,1.196,99.58
B1081,04-Oct-2024,Pondichery PC,Frisis,,,1.246,0.863,97.56
B1074,2024-11-22,pondicherry pc,PAS,1.602,1.037,1.426,1.202,error
B1054,18-May-2024,Khamgaon,PAS,N/A,,0.72,1.268,101.37
B1154,11-09-2024,Khamgaon,PAS,0.94,1.135,1.332,1.013,98.89
B1042,12/01/2024,Khamagon,Frisis,1.373,1.157,1.091,1.158,97.58
B1056,02-10-2024,Pondicherry PC,Perfume,0.802,1.175,1.496,0.808,102.01
B1199,22-Dec-2024,KHAMGAON,PAS,N/A,1.011,1.155,0.887,98.66
B1059,18-Nov-2024,Khamagon,Frisis,0.708,1.03,1.29,,97.35
B1145,2024-02-24,haridwar pc,PAS,1.477,,1.395,1.142,100.41
B1150,2024-08-05,HARIDWAR PC,Perfume,1.945,0.939,1.578,1.386,98.67
B1163,09-30-2024,Sumerpur PC,Frisis,1.533,1.275,,0.677,98.15
B1100,2024-06-07,Llpl,Perfume,1.048,0.89,0.863,,
B1125,19/12/2024,pondicherry pc,Frisis,1.269,1.248,1.16,,100.67
B1023,2024-02-26,Llpl,Frisis,1.15,1.042,1.13,1.42,99.48
B1089,30/04/2024,khamgaon,Perfume,1.09,0.98,0.825,0.945,98.36
B1030,30-Nov-2024,HARIDWAR PC,Perfume,,1.204,,1.219,101.33
B1041,05/11/2024,Haridwar Pc,Frisis,1.543,1.229,1.524,0.857,100.53
B1070,24-Jun-2024,Haridwar Pc,PAS,1.577,0.892,1.373,0.839,98.56
B1167,12-20-2024,Khamgaon,Perfume,1.442,0.925,1.17,1.152,101.37
B1114,2024-05-14,Haridwar,PAS,1.628,1.056,1.021,1.027,100.45
B1195,2024-09-03,PONDICHERRY PC,Noodles,0.967,0.733,1.352,0.829,96.27
B1096,2024-02-07,LLPL,Perfume,1.153,4.88,1.464,0.933,100.78
B1080,09-Jun-2024,HARIDWAR PC,Noodles,1.22,1.183,1.137,0.886,
