order_id,date,region,category,product,quantity,unit_price,discount_%,revenue,month,region_total,pct_of_region
ORD01000,2024-04-20,South,Home & Kitchen,Chopping Board,5,249,5,1182.75,2024-04,362934.45,0.326
ORD01001,2024-01-02,West,Clothing,Formal Shirt,4,699,20,2236.8,2024-01,454804.35,0.492
ORD01002,2024-03-15,North,Food & Beverage,Energy Drink Pack,7,299,0,2093.0,2024-03,308237.5,0.679
ORD01003,2024-07-27,South,Clothing,Cotton T-Shirt,7,349,15,2076.55,2024-07,362934.45,0.572
ORD01004,2024-02-29,West,Electronics,USB Hub,8,599,15,4073.2,2024-02,454804.35,0.896
ORD01005,2024-01-11,East,Electronics,Smart Watch,2,2999,0,5998.0,2024-01,403786.75,1.485
ORD01006,2024-09-05,West,Clothing,Formal Shirt,6,699,5,3984.3,2024-09,454804.35,0.876
ORD01007,2024-04-30,South,Clothing,Cotton T-Shirt,8,349,20,2233.6,2024-04,362934.45,0.615
ORD01008,2024-10-13,North,Clothing,Denim Jeans,2,999,0,1998.0,2024-10,308237.5,0.648
ORD01009,2024-10-01,West,Home & Kitchen,Water Bottle,6,349,0,2094.0,2024-10,454804.35,0.46
ORD01010,2024-07-16,West,Food & Beverage,Instant Coffee,8,349,10,2512.8,2024-07,454804.35,0.553
ORD01011,2024-02-17,East,Home & Kitchen,Chopping Board,5,249,0,1245.0,2024-02,403786.75,0.308
ORD01012,2024-10-08,South,Home & Kitchen,Non-Stick Pan,8,899,0,7192.0,2024-10,362934.45,1.982
ORD01013,2024-12-08,South,Food & Beverage,Energy Drink Pack,2,299,0,598.0,2024-12,362934.45,0.165
ORD01014,2024-11-01,South,Food & Beverage,Instant Coffee,6,349,20,1675.2,2024-11,362934.45,0.462
ORD01015,2024-03-30,East,Clothing,Cotton T-Shirt,3,349,0,1047.0,2024-03,403786.75,0.259
ORD01016,2024-09-23,West,Food & Beverage,Protein Bar Box,1,599,15,509.15,2024-09,454804.35,0.112
ORD01017,2024-09-08,South,Home & Kitchen,Water Bottle,1,349,0,349.0,2024-09,362934.45,0.096
ORD01018,2024-02-05,West,Clothing,Denim Jeans,3,999,10,2697.3,2024-02,454804.35,0.593
ORD01019,2024-05-27,West,Home & Kitchen,Chopping Board,1,249,20,199.2,2024-05,454804.35,0.044
ORD01020,2024-05-07,North,Food & Beverage,Instant Coffee,1,349,5,331.55,2024-05,308237.5,0.108
ORD01021,2024-03-15,South,Home & Kitchen,Non-Stick Pan,6,899,15,4584.9,2024-03,362934.45,1.263
ORD01022,2024-11-28,South,Home & Kitchen,Non-Stick Pan,5,899,0,4495.0,2024-11,362934.45,1.239
ORD01023,2024-03-19,West,Electronics,Smart Watch,6,2999,20,14395.2,2024-03,454804.35,3.165
ORD01024,2024-03-12,East,Home & Kitchen,Chopping Board,8,249,0,1992.0,2024-03,403786.75,0.493
ORD01025,2024-03-05,East,Clothing,Cotton T-Shirt,7,349,15,2076.55,2024-03,403786.75,0.514
ORD01026,2024-05-07,North,Food & Beverage,Energy Drink Pack,6,299,15,1524.9,2024-05,308237.5,0.495
ORD01027,2024-03-13,West,Food & Beverage,Mixed Nuts,3,449,0,1347.0,2024-03,454804.35,0.296
ORD01028,2024-11-24,North,Home & Kitchen,Non-Stick Pan,3,899,0,2697.0,2024-11,308237.5,0.875
ORD01029,2024-05-24,West,Clothing,Cotton T-Shirt,2,349,15,593.3,2024-05,454804.35,0.13
ORD01030,2024-09-09,South,Food & Beverage,Energy Drink Pack,6,299,5,1704.3,2024-09,362934.45,0.47
ORD01031,2024-07-12,South,Clothing,Denim Jeans,3,999,20,2397.6,2024-07,362934.45,0.661
ORD01032,2024-01-05,South,Electronics,Portable Charger,1,799,20,639.2,2024-01,362934.45,0.176
ORD01033,2024-10-17,West,Home & Kitchen,Non-Stick Pan,7,899,20,5034.4,2024-10,454804.35,1.107
ORD01034,2024-01-22,South,Clothing,Hoodie,6,799,15,4074.9,2024-01,362934.45,1.123
ORD01035,2024-05-31,South,Home & Kitchen,Water Bottle,5,349,15,1483.25,2024-05,362934.45,0.409
ORD01036,2024-10-31,West,Electronics,Portable Charger,1,799,10,719.1,2024-10,454804.35,0.158
ORD01037,2024-11-11,East,Food & Beverage,Instant Coffee,4,349,0,1396.0,2024-11,403786.75,0.346
ORD01038,2024-12-02,East,Clothing,Hoodie,2,799,0,1598.0,2024-12,403786.75,0.396
ORD01039,2024-08-17,West,Electronics,Wireless Earbuds,2,1299,15,2208.3,2024-08,454804.35,0.486
ORD01040,2024-02-06,North,Home & Kitchen,Chopping Board,7,249,5,1655.85,2024-02,308237.5,0.537
ORD01041,2024-05-06,South,Electronics,Wireless Earbuds,7,1299,0,9093.0,2024-05,362934.45,2.505
ORD01042,2024-05-01,East,Home & Kitchen,Chopping Board,8,249,20,1593.6,2024-05,403786.75,0.395
ORD01043,2024-11-19,West,Home & Kitchen,Coffee Mug Set,8,549,0,4392.0,2024-11,454804.35,0.966
ORD01044,2024-07-09,North,Electronics,Webcam,3,1899,5,5412.15,2024-07,308237.5,1.756
ORD01045,2024-09-03,South,Home & Kitchen,Storage Box Set,5,699,0,3495.0,2024-09,362934.45,0.963
ORD01046,2024-09-25,West,Home & Kitchen,Coffee Mug Set,7,549,20,3074.4,2024-09,454804.35,0.676
ORD01047,2024-07-19,North,Clothing,Hoodie,4,799,0,3196.0,2024-07,308237.5,1.037
ORD01048,2024-09-24,South,Electronics,Portable Charger,3,799,0,2397.0,2024-09,362934.45,0.66
ORD01049,2024-12-26,East,Home & Kitchen,Chopping Board,2,249,0,498.0,2024-12,403786.75,0.123
ORD01050,2024-10-24,West,Clothing,Hoodie,6,799,15,4074.9,2024-10,454804.35,0.896
ORD01051,2024-09-20,South,Food & Beverage,Green Tea Pack,1,199,0,199.0,2024-09,362934.45,0.055
ORD01052,2024-11-02,East,Clothing,Formal Shirt,4,699,0,2796.0,2024-11,403786.75,0.692
ORD01053,2024-07-24,East,Home & Kitchen,Water Bottle,7,349,5,2320.85,2024-07,403786.75,0.575
ORD01054,2024-03-30,West,Home & Kitchen,Storage Box Set,5,699,15,2970.75,2024-03,454804.35,0.653
ORD01055,2024-01-18,West,Food & Beverage,Green Tea Pack,4,199,0,796.0,2024-01,454804.35,0.175
ORD01056,2024-10-23,East,Food & Beverage,Green Tea Pack,2,199,10,358.2,2024-10,403786.75,0.089
ORD01057,2024-08-18,North,Home & Kitchen,Storage Box Set,8,699,15,4753.2,2024-08,308237.5,1.542
ORD01058,2024-06-07,South,Electronics,Portable Charger,3,799,0,2397.0,2024-06,362934.45,0.66
ORD01059,2024-03-26,South,Home & Kitchen,Coffee Mug Set,1,549,0,549.0,2024-03,362934.45,0.151
ORD01060,2024-04-06,South,Home & Kitchen,Storage Box Set,1,699,0,699.0,2024-04,362934.45,0.193
ORD01061,2024-10-21,West,Home & Kitchen,Storage Box Set,4,699,0,2796.0,2024-10,454804.35,0.615
ORD01062,2024-08-11,West,Electronics,Portable Charger,2,799,0,1598.0,2024-08,454804.35,0.351
ORD01063,2024-09-26,South,Clothing,Cotton T-Shirt,8,349,20,2233.6,2024-09,362934.45,0.615
ORD01064,2024-03-19,West,Home & Kitchen,Coffee Mug Set,3,549,0,1647.0,2024-03,454804.35,0.362
ORD01065,2024-02-06,East,Food & Beverage,Instant Coffee,1,349,20,279.2,2024-02,403786.75,0.069
ORD01066,2024-04-07,North,Clothing,Formal Shirt,2,699,15,1188.3,2024-04,308237.5,0.386
ORD01067,2024-01-20,East,Food & Beverage,Instant Coffee,1,349,0,349.0,2024-01,403786.75,0.086
ORD01068,2024-02-23,West,Food & Beverage,Mixed Nuts,3,449,0,1347.0,2024-02,454804.35,0.296
ORD01069,2024-04-11,South,Food & Beverage,Energy Drink Pack,5,299,5,1420.25,2024-04,362934.45,0.391
ORD01070,2024-04-22,South,Home & Kitchen,Non-Stick Pan,6,899,20,4315.2,2024-04,362934.45,1.189
ORD01071,2024-12-29,South,Electronics,USB Hub,3,599,0,1797.0,2024-12,362934.45,0.495
ORD01072,2024-08-14,East,Home & Kitchen,Chopping Board,3,249,20,597.6,2024-08,403786.75,0.148
ORD01073,2024-11-27,North,Food & Beverage,Green Tea Pack,4,199,15,676.6,2024-11,308237.5,0.22
ORD01074,2024-12-22,North,Food & Beverage,Mixed Nuts,4,449,5,1706.2,2024-12,308237.5,0.554
ORD01075,2024-05-15,East,Electronics,USB Hub,3,599,10,1617.3,2024-05,403786.75,0.401
ORD01076,2024-09-13,North,Home & Kitchen,Water Bottle,3,349,10,942.3,2024-09,308237.5,0.306
ORD01077,2024-08-18,West,Clothing,Denim Jeans,5,999,20,3996.0,2024-08,454804.35,0.879
ORD01078,2024-04-01,East,Electronics,Smart Watch,7,2999,10,18893.7,2024-04,403786.75,4.679
