order_id,date,region,category,product,quantity,unit_price,discount_%,revenue
ORD01000,2024-04-20,South,Home & Kitchen,Chopping Board,5,249,5,1182.75
ORD01001,2024-01-02,West,Clothing,Formal Shirt,4,699,20,2236.8
ORD01002,2024-03-15,North,Food & Beverage,Energy Drink Pack,7,299,0,2093.0
ORD01003,2024-07-27,South,Clothing,Cotton T-Shirt,7,349,15,2076.55
ORD01004,2024-02-29,West,Electronics,USB Hub,8,599,15,4073.2
ORD01005,2024-01-11,East,Electronics,Smart Watch,2,2999,0,5998.0
ORD01006,2024-09-05,West,Clothing,Formal Shirt,6,699,5,3984.3
ORD01007,2024-04-30,South,Clothing,Cotton T-Shirt,8,349,20,2233.6
ORD01008,2024-10-13,North,Clothing,Denim Jeans,2,999,0,1998.0
ORD01009,2024-10-01,West,Home & Kitchen,Water Bottle,6,349,0,2094.0
ORD01010,2024-07-16,West,Food & Beverage,Instant Coffee,8,349,10,2512.8
ORD01011,2024-02-17,East,Home & Kitchen,Chopping Board,5,249,0,1245.0
ORD01012,2024-10-08,South,Home & Kitchen,Non-Stick Pan,8,899,0,7192.0
ORD01013,2024-12-08,South,Food & Beverage,Energy Drink Pack,2,299,0,598.0
ORD01014,2024-11-01,South,Food & Beverage,Instant Coffee,6,349,20,1675.2
ORD01015,2024-03-30,East,Clothing,Cotton T-Shirt,3,349,0,1047.0
ORD01016,2024-09-23,West,Food & Beverage,Protein Bar Box,1,599,15,509.15
ORD01017,2024-09-08,South,Home & Kitchen,Water Bottle,1,349,0,349.0
ORD01018,2024-02-05,West,Clothing,Denim Jeans,3,999,10,2697.3
ORD01019,2024-05-27,West,Home & Kitchen,Chopping Board,1,249,20,199.2
ORD01020,2024-05-07,North,Food & Beverage,Instant Coffee,1,349,5,331.55
ORD01021,2024-03-15,South,Home & Kitchen,Non-Stick Pan,6,899,15,4584.9
ORD01022,2024-11-28,South,Home & Kitchen,Non-Stick Pan,5,899,0,4495.0
ORD01023,2024-03-19,West,Electronics,Smart Watch,6,2999,20,14395.2
ORD01024,2024-03-12,East,Home & Kitchen,Chopping Board,8,249,0,1992.0
ORD01025,2024-03-05,East,Clothing,Cotton T-Shirt,7,349,15,2076.55
