order_id,customer_id,product_id,date,quantity,discount_%,revenue
"ORD05000,",CUST0064,PROD007,2024-12-28,2,10,1438.2
"ORD05001,",CUST0037,PROD010,2024-06-08,6,10,3234.6
"ORD05002,",CUST0081,PROD014,2024-12-08,2,15,593.3
"ORD05003,",CUST0091,PROD013,2024-11-22,4,10,3236.4
"ORD05004,",CUST0052,PROD004,2024-03-22,3,10,5127.3
"ORD05005,",CUST9999,PROD007,2024-03-24,1,0,799.0
"ORD05006,",CUST0024,PROD013,2024-03-30,3,10,2427.3
"ORD05007,",CUST0055,PROD005,2024-03-10,2,0,698.0
"ORD05008,",CUST0067,PROD014,2024-09-13,2,15,593.3
"ORD05009,",CUST0012,PROD013,2024-09-28,1,15,764.15
"ORD05010,",CUST0057,PROD013,2024-02-19,1,15,764.15
"ORD05011,",CUST0057,PROD016,2024-06-08,2,15,423.3
"ORD05012,",CUST0024,PROD014,2024-08-22,3,15,889.95
"ORD05013,",CUST0087,PROD008,2024-01-08,4,5,2656.2
"ORD05014,",CUST0039,PROD006,2024-01-08,4,5,3796.2
"ORD05015,",CUST0040,PROD010,2024-06-05,6,0,3594.0
"ORD05016,",CUST0058,PROD002,2024-11-04,2,5,5698.1
"ORD05017,",CUST0056,PROD012,2024-04-11,3,0,1347.0
"ORD05018,",CUST0004,PROD014,2024-10-07,3,0,1047.0
"ORD05019,",CUST0094,PROD009,2024-10-29,6,15,1014.9
"ORD05020,",CUST0043,PROD009,2024-05-28,3,0,597.0
"ORD05021,",CUST0098,PROD004,2024-04-15,2,15,3228.3
"ORD05022,",CUST0004,PROD010,2024-09-22,1,10,539.1
"ORD05023,",CUST0041,PROD011,2024-09-18,1,10,314.1
"ORD05024,",CUST0086,PROD012,2024-05-04,3,5,1279.65
"ORD05025,",CUST0008,PROD001,2024-08-28,5,15,5520.75
"ORD05026,",CUST0095,PROD003,2024-06-04,3,10,1617.3
"ORD05027,",CUST0011,PROD011,2024-06-19,4,15,1186.6
"ORD05028,",CUST0093,PROD006,2024-06-06,4,0,3996.0
"ORD05029,",CUST9999,PROD006,2024-06-28,4,5,3796.2
"ORD05030,",CUST0039,PROD010,2024-12-07,3,5,1707.15
"ORD05031,",CUST0076,PROD001,2024-10-30,3,0,3897.0
"ORD05032,",CUST0009,PROD014,2024-06-12,5,15,1483.25
"ORD05033,",CUST0024,PROD005,2024-07-29,4,0,1396.0
"ORD05034,",CUST0031,PROD006,2024-10-30,6,5,5694.3
"ORD05035,",CUST0022,PROD014,2024-12-12,5,0,1745.0
"ORD05036,",CUST0082,PROD016,2024-11-09,1,0,249.0
"ORD05037,",CUST0081,PROD007,2024-10-08,2,5,1518.1
"ORD05038,",CUST0093,PROD009,2024-08-31,5,5,945.25
"ORD05039,",CUST0097,PROD012,2024-03-29,2,5,853.1
"ORD05040,",CUST0092,PROD003,2024-02-05,1,15,509.15
"ORD05041,",CUST0096,PROD001,2024-10-08,2,0,2598.0
"ORD05042,",CUST0086,PROD013,2024-11-27,5,0,4495.0
"ORD05043,",CUST0061,PROD007,2024-11-13,6,0,4794.0
"ORD05044,",CUST0076,PROD014,2024-10-06,4,0,1396.0
"ORD05045,",CUST0047,PROD001,2024-04-07,4,0,5196.0
"ORD05046,",CUST0020,PROD005,2024-11-23,4,5,1326.2
"ORD05047,",CUST0042,PROD012,2024-09-21,6,0,2694.0
"ORD05048,",CUST0097,PROD005,2024-03-12,2,15,593.3
"ORD05049,",CUST0027,PROD004,2024-05-06,3,15,4842.45
"ORD05050,",CUST0018,PROD002,2024-04-25,1,0,2999.0
"ORD05051,",CUST0070,PROD013,2024-02-09,4,10,3236.4
"ORD05052,",CUST0089,PROD012,2024-06-21,3,10,1212.3
"ORD05053,",CUST0067,PROD001,2024-06-28,1,0,1299.0
"ORD05054,",CUST0020,PROD009,2024-02-25,2,0,398.0
"ORD05055,",CUST0016,PROD012,2024-10-06,4,0,1796.0
"ORD05056,",CUST0092,PROD002,2024-02-19,5,15,12745.75
"ORD05057,",CUST0004,PROD014,2024-06-22,5,10,1570.5
"ORD05058,",CUST0033,PROD012,2024-04-23,4,5,1706.2
