order_id,customer_id,product_id,date,quantity,discount_%,revenue,product_name,category,unit_price,customer_name,city,segment,since_year
ORD05000,CUST0064,PROD007,2024-12-28,2,10,1438.2,Hoodie,Clothing,799,Customer_64,Hyderabad,Wholesale,2019.0
ORD05001,CUST0037,PROD010,2024-06-08,6,10,3234.6,Protein Bar Box,Food & Beverage,599,Customer_37,Kolkata,Wholesale,2019.0
ORD05002,CUST0081,PROD014,2024-12-08,2,15,593.3,Water Bottle,Home & Kitchen,349,Customer_81,Mumbai,Retail,2018.0
ORD05003,CUST0091,PROD013,2024-11-22,4,10,3236.4,Non-Stick Pan,Home & Kitchen,899,Customer_91,Bangalore,Online,2018.0
ORD05004,CUST0052,PROD004,2024-03-22,3,10,5127.3,Webcam,Electronics,1899,Customer_52,Pune,Online,2023.0
ORD05005,CUST9999,PROD007,2024-03-24,1,0,799.0,Hoodie,Clothing,799,,,,
ORD05006,CUST0024,PROD013,2024-03-30,3,10,2427.3,Non-Stick Pan,Home & Kitchen,899,Customer_24,Mumbai,Retail,2022.0
ORD05007,CUST0055,PROD005,2024-03-10,2,0,698.0,Cotton T-Shirt,Clothing,349,Customer_55,Pune,Wholesale,2018.0
ORD05008,CUST0067,PROD014,2024-09-13,2,15,593.3,Water Bottle,Home & Kitchen,349,Customer_67,Hyderabad,Online,2018.0
ORD05009,CUST0012,PROD013,2024-09-28,1,15,764.15,Non-Stick Pan,Home & Kitchen,899,Customer_12,Delhi,Wholesale,2023.0
ORD05010,CUST0057,PROD013,2024-02-19,1,15,764.15,Non-Stick Pan,Home & Kitchen,899,Customer_57,Kolkata,Retail,2018.0
ORD05011,CUST0057,PROD016,2024-06-08,2,15,423.3,Chopping Board,Home & Kitchen,249,Customer_57,Kolkata,Retail,2018.0
ORD05012,CUST0024,PROD014,2024-08-22,3,15,889.95,Water Bottle,Home & Kitchen,349,Customer_24,Mumbai,Retail,2022.0
ORD05013,CUST0087,PROD008,2024-01-08,4,5,2656.2,Formal Shirt,Clothing,699,Customer_87,Bangalore,Online,2021.0
ORD05014,CUST0039,PROD006,2024-01-08,4,5,3796.2,Denim Jeans,Clothing,999,Customer_39,Bangalore,Wholesale,2020.0
ORD05015,CUST0040,PROD010,2024-06-05,6,0,3594.0,Protein Bar Box,Food & Beverage,599,Customer_40,Bangalore,Wholesale,2018.0
ORD05016,CUST0058,PROD002,2024-11-04,2,5,5698.1,Smart Watch,Electronics,2999,Customer_58,Delhi,Online,2019.0
ORD05017,CUST0056,PROD012,2024-04-11,3,0,1347.0,Mixed Nuts,Food & Beverage,449,Customer_56,Bangalore,Online,2018.0
ORD05018,CUST0004,PROD014,2024-10-07,3,0,1047.0,Water Bottle,Home & Kitchen,349,Customer_4,Delhi,Online,2019.0
ORD05019,CUST0094,PROD009,2024-10-29,6,15,1014.9,Green Tea Pack,Food & Beverage,199,Customer_94,Kolkata,Retail,2019.0
ORD05020,CUST0043,PROD009,2024-05-28,3,0,597.0,Green Tea Pack,Food & Beverage,199,Customer_43,Pune,Wholesale,2022.0
ORD05021,CUST0098,PROD004,2024-04-15,2,15,3228.3,Webcam,Electronics,1899,Customer_98,Chennai,Retail,2022.0
ORD05022,CUST0004,PROD010,2024-09-22,1,10,539.1,Protein Bar Box,Food & Beverage,599,Customer_4,Delhi,Online,2019.0
