region,category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
North,Electronics,62802.78,63360.43,83850.99,75440.78,75820.65,68340.46,67559.96,50930.84,53379.62,40940.99,49318.39,59366.17
North,Clothing,58219.1,79322.48,78762.23,84095.92,70020.27,73550.61,54996.8,59737.04,42567.74,42337.93,52782.12,59718.37
North,Food & Beverage,80964.44,106038.11,102352.15,106102.48,100466.46,94797.87,89281.42,83721.2,76849.39,69145.32,64522.5,77286.47
North,Home & Kitchen,88576.34,83510.52,116988.98,115635.33,115438.59,101837.94,88234.83,79941.99,68718.81,51225.46,60854.05,70651.28
South,Electronics,141843.75,159889.97,211876.4,230504.38,226236.19,211364.97,165516.19,143866.37,114658.94,104225.98,120649.2,152340.12
South,Clothing,159373.87,156564.0,207052.54,213106.48,157535.89,186091.49,154003.14,107104.54,102080.63,104381.08,111343.4,131096.93
South,Food & Beverage,212081.69,244422.38,220170.48,256904.62,276882.64,194789.06,179161.77,148741.95,162089.22,119822.91,146530.76,168453.46
South,Home & Kitchen,129910.84,155720.17,175532.14,150164.32,141740.51,130746.32,125152.99,121458.77,80877.6,80403.45,101277.67,115963.41
East,Electronics,43033.26,54112.94,67530.33,64157.42,60264.83,53146.87,47744.73,41323.58,33307.92,37290.71,37550.56,47604.93
East,Clothing,185696.39,223364.69,250761.1,260981.98,198229.27,227281.42,184867.7,179444.0,120394.37,122023.56,151944.3,133937.14
East,Food & Beverage,163439.66,188131.06,169491.53,189792.53,192379.75,170702.06,134304.59,126597.23,109245.23,115829.25,100767.23,117051.86
East,Home & Kitchen,148632.21,180182.84,192580.44,234439.45,196326.15,172180.28,154936.18,120656.12,119037.55,117364.2,130200.14,145357.36
West,Electronics,60983.61,69074.03,76054.95,89119.79,84917.79,77606.81,62607.26,63810.16,44729.61,47851.33,57440.96,50957.33
West,Clothing,192399.83,233029.55,243179.25,241043.61,259091.31,233444.29,173803.99,185688.75,153397.68,113776.03,143748.84,174972.32
West,Food & Beverage,75556.71,87382.74,109671.17,101479.02,109561.22,108690.37,78853.29,80382.44,66366.94,68081.26,71989.84,73808.34
West,Home & Kitchen,167890.68,160459.41,206469.66,170405.36,196971.01,180869.64,151498.77,139790.22,108431.58,89534.79,104519.12,130947.94
